resultId,season,round,driverId,constructorId,grid,position,positionText,points,laps,status,time,fastestLapTime,fastestLapRank,fastestLapSpeed
527,2025,3,hadjar,rb,7,8,8,4.00,53,Finished,+37.134,1:31.317,7,
528,2025,3,albon,williams,9,9,9,2.00,53,Finished,+40.367,1:31.125,6,
529,2025,3,bearman,haas,10,10,10,1.00,53,Finished,+54.529,1:32.006,15,
530,2025,3,alonso,aston_martin,12,11,11,0.00,53,Finished,+57.333,1:31.770,11,
531,2025,3,tsunoda,red_bull,14,12,12,0.00,53,Finished,+58.401,1:31.871,13,
532,2025,3,gasly,alpine,11,13,13,0.00,53,Finished,+1:02.122,1:31.820,12,
533,2025,3,sainz,williams,15,14,14,0.00,53,Finished,+1:14.129,1:31.106,4,
534,2025,3,doohan,alpine,19,15,15,0.00,53,Finished,+1:21.314,1:32.685,20,
535,2025,3,hulkenberg,sauber,16,16,16,0.00,53,Finished,+1:21.957,1:32.572,19,
536,2025,3,lawson,rb,13,17,17,0.00,53,Finished,+1:22.734,1:32.043,17,
537,2025,3,ocon,haas,18,18,18,0.00,53,Finished,+1:23.438,1:31.967,14,
538,2025,3,bortoleto,sauber,17,19,19,0.00,53,Finished,+1:23.897,1:32.034,16,
539,2025,3,stroll,aston_martin,20,20,20,0.00,52,Lapped,+12.929,1:32.052,18,
540,2025,4,piastri,mclaren,1,1,1,25.00,57,Finished,1:35:39.435,1:35.140,1,
541,2025,4,russell,mercedes,3,2,2,18.00,57,Finished,+15.499,1:35.518,2,
542,2025,4,norris,mclaren,6,3,3,15.00,57,Finished,+16.273,1:35.728,3,
543,2025,4,leclerc,ferrari,2,4,4,12.00,57,Finished,+19.679,1:36.132,4,
544,2025,4,hamilton,ferrari,9,5,5,10.00,57,Finished,+27.993,1:36.235,6,
545,2025,4,max_verstappen,red_bull,7,6,6,8.00,57,Finished,+34.395,1:36.167,5,
546,2025,4,gasly,alpine,4,7,7,6.00,57,Finished,+36.002,1:36.531,7,
547,2025,4,ocon,haas,14,8,8,4.00,57,Finished,+44.244,1:37.098,12,
548,2025,4,tsunoda,red_bull,10,9,9,2.00,57,Finished,+45.061,1:37.225,14,
549,2025,4,bearman,haas,20,10,10,1.00,57,Finished,+47.594,1:37.303,15,
550,2025,4,antonelli,mercedes,5,11,11,0.00,57,Finished,+48.016,1:36.690,9,
551,2025,4,albon,williams,15,12,12,0.00,57,Finished,+48.839,1:37.141,13,
552,2025,4,hadjar,rb,12,13,13,0.00,57,Finished,+56.314,1:36.952,10,
553,2025,4,doohan,alpine,11,14,14,0.00,57,Finished,+57.806,1:36.682,8,
554,2025,4,alonso,aston_martin,13,15,15,0.00,57,Finished,+1:00.340,1:37.906,17,
555,2025,4,lawson,rb,17,16,16,0.00,57,Finished,+1:04.435,1:37.380,16,
556,2025,4,stroll,aston_martin,19,17,17,0.00,57,Finished,+1:05.489,1:38.064,19,
557,2025,4,bortoleto,sauber,18,18,18,0.00,57,Finished,+1:06.872,1:38.006,18,
558,2025,4,sainz,williams,8,19,R,0.00,45,Retired,,1:36.954,11,
559,2025,4,hulkenberg,sauber,16,20,D,0.00,0,Disqualified,,,NULL,
560,2025,5,piastri,mclaren,2,1,1,25.00,50,Finished,1:21:06.758,1:32.228,3,
561,2025,5,max_verstappen,red_bull,1,2,2,18.00,50,Finished,+2.843,1:32.280,4,
562,2025,5,leclerc,ferrari,4,3,3,15.00,50,Finished,+8.104,1:32.192,2,
563,2025,5,norris,mclaren,10,4,4,12.00,50,Finished,+9.196,1:31.778,1,
564,2025,5,russell,mercedes,3,5,5,10.00,50,Finished,+27.236,1:32.893,9,
565,2025,5,antonelli,mercedes,5,6,6,8.00,50,Finished,+34.688,1:32.396,5,
566,2025,5,hamilton,ferrari,7,7,7,6.00,50,Finished,+39.073,1:32.600,7,
567,2025,5,sainz,williams,6,8,8,4.00,50,Finished,+1:04.630,1:32.466,6,
568,2025,5,albon,williams,11,9,9,2.00,50,Finished,+1:06.515,1:33.477,16,
569,2025,5,hadjar,rb,14,10,10,1.00,50,Finished,+1:07.091,1:33.257,14,
570,2025,5,alonso,aston_martin,13,11,11,0.00,50,Finished,+1:15.917,1:33.009,11,
571,2025,5,lawson,rb,12,12,12,0.00,50,Finished,+1:18.451,1:32.998,10,
572,2025,5,bearman,haas,15,13,13,0.00,50,Finished,+1:19.194,1:33.238,13,
573,2025,5,ocon,haas,19,14,14,0.00,50,Finished,+1:39.723,1:34.309,17,
574,2025,5,hulkenberg,sauber,18,15,15,0.00,49,Lapped,+4.609,1:33.446,15,
575,2025,5,stroll,aston_martin,16,16,16,0.00,49,Lapped,+5.527,1:32.745,8,
576,2025,5,doohan,alpine,17,17,17,0.00,49,Lapped,+19.264,1:33.150,12,
577,2025,5,bortoleto,sauber,20,18,18,0.00,49,Lapped,+19.306,1:34.447,18,
578,2025,5,tsunoda,red_bull,8,19,R,0.00,1,Retired,,,NULL,
579,2025,5,gasly,alpine,9,20,R,0.00,0,Retired,,,NULL,
580,2025,6,piastri,mclaren,4,1,1,25.00,57,Finished,1:28:51.587,1:29.822,2,
581,2025,6,norris,mclaren,2,2,2,18.00,57,Finished,+4.630,1:29.746,1,
582,2025,6,russell,mercedes,5,3,3,15.00,57,Finished,+37.644,1:30.318,3,
583,2025,6,max_verstappen,red_bull,1,4,4,12.00,57,Finished,+39.956,1:30.466,5,
584,2025,6,albon,williams,7,5,5,10.00,57,Finished,+48.067,1:30.482,6,
585,2025,6,antonelli,mercedes,3,6,6,8.00,57,Finished,+55.502,1:30.795,9,
586,2025,6,leclerc,ferrari,8,7,7,6.00,57,Finished,+57.036,1:30.461,4,
587,2025,6,hamilton,ferrari,12,8,8,4.00,57,Finished,+1:00.186,1:30.562,7,
588,2025,6,sainz,williams,6,9,9,2.00,57,Finished,+1:00.577,1:30.703,8,
589,2025,6,tsunoda,red_bull,10,10,10,1.00,57,Finished,+1:14.434,1:30.964,10,
590,2025,6,hadjar,rb,11,11,11,0.00,57,Finished,+1:14.602,1:30.971,11,
591,2025,6,ocon,haas,9,12,12,0.00,57,Finished,+1:22.006,1:31.122,13,
592,2025,6,gasly,alpine,20,13,13,0.00,57,Finished,+1:30.445,1:31.159,14,
593,2025,6,hulkenberg,sauber,16,14,14,0.00,56,Lapped,+1.155,1:31.015,12,
594,2025,6,alonso,aston_martin,17,15,15,0.00,56,Lapped,+20.979,1:31.287,15,
595,2025,6,stroll,aston_martin,18,16,16,0.00,56,Lapped,+25.162,1:31.769,16,
596,2025,6,lawson,rb,15,17,R,0.00,36,Retired,,1:31.770,17,
597,2025,6,bortoleto,sauber,13,18,R,0.00,30,Retired,,1:32.328,18,
598,2025,6,bearman,haas,19,19,R,0.00,27,Retired,,1:32.680,19,
599,2025,6,doohan,alpine,14,20,R,0.00,0,Retired,,,NULL,
600,2025,7,max_verstappen,red_bull,2,1,1,25.00,63,Finished,1:31:33.199,1:17.988,1,
